Sequence,Volt
636,1.657
637,1.672667
638,1.687667
639,1.667
640,1.667
641,1.681667
642,1.667667
643,1.676333
644,1.677333
645,1.670333
646,1.675
647,1.686667
648,1.685333
649,1.676667
650,1.684
651,1.673
652,1.666333
653,1.664333
654,1.661333
655,1.680667
656,1.684667
657,1.682
658,1.694333
659,1.686667
660,1.683333
661,1.682333
662,1.668333
663,1.664333
664,1.660333
665,1.655333
666,1.612667
667,1.588
668,1.597333
669,1.603667
670,1.662
671,1.693333
672,1.697667
673,1.699333
674,1.689667
675,1.695
676,1.671
677,1.648
678,1.489333
679,1.319
680,1.451333
681,1.631333
682,1.663
683,1.666667
684,1.674667
685,1.673667
686,1.668667
687,1.666
688,1.661
689,1.659333
690,1.655667
691,1.660667
692,1.682333
693,1.679
694,1.667667
695,1.667667
696,1.663
697,1.657333
698,1.649667
699,1.644333
700,1.643667
701,1.630667
702,1.599667
703,1.585667
704,1.588
705,1.574667
706,1.553333
707,1.534333
708,1.547
709,1.569667
710,1.580667
711,1.589333
712,1.62
713,1.653667
714,1.652333
715,1.670333
716,1.674667
717,1.666
718,1.676333
719,1.676333
720,1.681667
721,1.694
722,1.693667
723,1.689667
724,1.688333
725,1.684333
726,1.690667
727,1.694
728,1.687667
729,1.686667
730,1.677333
731,1.659
732,1.660667
733,1.675
734,1.679
735,1.682667
736,1.681667
737,1.685333
738,1.687667
739,1.669333
740,1.679667
741,1.686667
742,1.679667
743,1.69
744,1.687
745,1.687667
746,1.687
747,1.681
748,1.672333
749,1.669
750,1.670333
751,1.688667
752,1.696333
753,1.678333
754,1.686
755,1.674667
756,1.666667
757,1.655
758,1.645333
759,1.646333
760,1.619
761,1.612333
762,1.600667
763,1.607667
764,1.645667
765,1.670333
766,1.686
767,1.682667
768,1.674667
769,1.695667
770,1.699
771,1.67
772,1.555
773,1.365
774,1.421667
775,1.615333
776,1.681333
777,1.696333
778,1.683
779,1.681667
780,1.679667
781,1.661333
782,1.662333
783,1.679333
784,1.681667
785,1.677
786,1.674
787,1.663333
788,1.680667
789,1.690667
790,1.686
791,1.69
792,1.669333
793,1.651333
794,1.656333
795,1.649667
796,1.604667
797,1.608667
798,1.614667
799,1.559333
800,1.572333
801,1.565
802,1.532667
803,1.564667
804,1.583667
805,1.612
806,1.649333
807,1.645333
808,1.667333
809,1.687333
810,1.670333
811,1.682667
812,1.668333
813,1.670667
814,1.706667
815,1.700667
816,1.682333
817,1.66
818,1.686333
819,1.689667
820,1.668
821,1.695667
822,1.674667
823,1.659
824,1.675
825,1.672333
826,1.665667
827,1.663333
828,1.65
829,1.648667
830,1.670333
831,1.668333
832,1.665667
833,1.654333
834,1.658
835,1.668333
836,1.666333
837,1.670667
838,1.657333
839,1.655
840,1.654
841,1.654
842,1.655
843,1.654333
844,1.656667
845,1.645
846,1.638
847,1.653667
848,1.654667
849,1.630667
850,1.627333
851,1.608
852,1.6
853,1.603
854,1.592667
855,1.634
856,1.665333
857,1.648333
858,1.654333
859,1.673667
860,1.666333
861,1.67
862,1.661
863,1.578667
864,1.383
865,1.351
866,1.567667
867,1.65
868,1.670333
869,1.693667
870,1.672
871,1.673667
872,1.661667
873,1.658
874,1.657333
875,1.65
876,1.654667
877,1.671333
878,1.661333
879,1.661667
880,1.659667
881,1.649667
882,1.648333
883,1.637667
884,1.658
885,1.647
886,1.644667
887,1.629667
888,1.590333
889,1.582333
890,1.555333
891,1.531
892,1.509
893,1.527
894,1.529667
895,1.538333
896,1.583333
897,1.61
898,1.625
899,1.613667
900,1.637333
901,1.655
902,1.644667
903,1.640667
904,1.645333
905,1.668
906,1.659333
907,1.655
908,1.653667
909,1.644333
910,1.665
911,1.674667
912,1.670333
913,1.667667
914,1.666
915,1.640667
916,1.623
917,1.628667
918,1.64
919,1.64
920,1.629
921,1.651
922,1.657667
923,1.657
924,1.659667
925,1.642667
926,1.642
927,1.658
928,1.661
929,1.658333
930,1.657
931,1.645333
932,1.643333
933,1.645667
934,1.647333
935,1.644
936,1.628667
937,1.646
938,1.667
939,1.657
940,1.652
941,1.646667
942,1.646
943,1.639667
944,1.637
945,1.621667
946,1.585
947,1.586667
948,1.583667
949,1.561667
950,1.558333
951,1.575
952,1.596667
953,1.612333
954,1.635667
955,1.642
956,1.648667
957,1.664333
958,1.663333
959,1.610333
960,1.415667
961,1.277
962,1.45
963,1.618333
964,1.621667
965,1.644
966,1.61
967,1.615333
968,1.666
969,1.646
970,1.645
971,1.626667
972,1.619667
973,1.631667
974,1.616667
975,1.641667
976,1.656667
977,1.655
978,1.656333
979,1.635333
980,1.634333
981,1.631333
982,1.624
983,1.602
984,1.588333
985,1.579667
986,1.551333
987,1.534333
988,1.502333
989,1.506
990,1.521
991,1.534667
992,1.580667
993,1.591
994,1.606667
995,1.605333
996,1.613
997,1.627
998,1.62
999,1.653
