Sequence,Volt,
951,2.16E+01,,
952,2.16E+01,,
953,2.16E+01,,
954,2.10E+01,,
955,2.10E+01,,
956,2.08E+01,,
957,2.08E+01,,
958,2.10E+01,,
959,2.10E+01,,
960,2.10E+01,,
961,2.10E+01,,
962,2.50E+01,,
963,2.50E+01,,
964,2.50E+01,,
965,2.50E+01,,
966,2.80E+00,,
967,2.80E+00,,
968,2.80E+00,,
969,2.80E+00,,
970,2.02E+01,,
971,2.02E+01,,
972,2.04E+01,,
973,2.04E+01,,
974,2.22E+01,,
975,2.22E+01,,
976,2.22E+01,,
977,2.22E+01,,
978,2.26E+01,,
979,2.26E+01,,
980,2.26E+01,,
981,2.26E+01,,
982,2.32E+01,,
983,2.32E+01,,
984,2.34E+01,,
985,2.34E+01,,
986,2.40E+01,,
987,2.40E+01,,
988,2.38E+01,,
989,2.38E+01,,
990,2.54E+01,,
991,2.54E+01,,
992,2.54E+01,,
993,2.54E+01,,
994,2.66E+01,,
995,2.66E+01,,
996,2.66E+01,,
997,2.66E+01,,
998,2.62E+01,,
999,2.62E+01,,
1000,2.62E+01,,
1001,2.62E+01,,
1002,2.34E+01,,
1003,2.34E+01,,
1004,2.34E+01,,
1005,2.34E+01,,
1006,2.22E+01,,
1007,2.22E+01,,
1008,2.20E+01,,
1009,2.20E+01,,
1010,2.18E+01,,
1011,2.18E+01,,
1012,2.16E+01,,
1013,2.16E+01,,
1014,2.12E+01,,
1015,2.12E+01,,
1016,2.12E+01,,
1017,2.12E+01,,
1018,2.12E+01,,
1019,2.12E+01,,
1020,2.14E+01,,
1021,2.14E+01,,
1022,2.12E+01,,
1023,2.12E+01,,
1024,2.14E+01,,
1025,2.14E+01,,
1026,2.14E+01,,
1027,2.14E+01,,
1028,2.12E+01,,
1029,2.12E+01,,
1030,2.14E+01,,
1031,2.14E+01,,
1032,2.14E+01,,
1033,2.14E+01,,
1034,2.16E+01,,
1035,2.16E+01,,
1036,2.14E+01,,
1037,2.14E+01,,
1038,2.14E+01,,
1039,2.14E+01,,
1040,2.14E+01,,
1041,2.14E+01,,
1042,2.10E+01,,
1043,2.10E+01,,
1044,2.10E+01,,
1045,2.10E+01,,
1046,2.12E+01,,
1047,2.12E+01,,
1048,2.12E+01,,
1049,2.12E+01,,
1050,2.16E+01,,
1051,2.16E+01,,
1052,2.16E+01,,
1053,2.16E+01,,
1054,2.18E+01,,
1055,2.18E+01,,
1056,2.16E+01,,
1057,2.16E+01,,
1058,2.16E+01,,
1059,2.16E+01,,
1060,2.16E+01,,
1061,2.16E+01,,
1062,2.16E+01,,
1063,2.16E+01,,
1064,2.18E+01,,
1065,2.18E+01,,
1066,2.18E+01,,
1067,2.18E+01,,
1068,2.16E+01,,
1069,2.16E+01,,
1070,2.12E+01,,
1071,2.12E+01,,
1072,2.12E+01,,
