Sequence,Volt,
310,1.68e+01,
311,1.68e+01,
312,1.68e+01,
313,1.68e+01,
314,1.66e+01,
315,1.66e+01,
316,1.66e+01,
317,1.66e+01,
318,1.66e+01,
319,1.66e+01,
320,1.66e+01,
321,1.66e+01,
322,1.68e+01,
323,1.68e+01,
324,1.68e+01,
325,1.68e+01,
326,1.66e+01,
327,1.66e+01,
328,1.66e+01,
329,1.66e+01,
330,1.68e+01,
331,1.68e+01,
332,1.68e+01,
333,1.68e+01,
334,1.68e+01,
335,1.68e+01,
336,1.68e+01,
337,1.68e+01,
338,1.68e+01,
339,1.68e+01,
340,1.68e+01,
341,1.68e+01,
342,1.66e+01,
343,1.66e+01,
344,1.66e+01,
345,1.66e+01,
346,1.66e+01,
347,1.66e+01,
348,1.66e+01,
349,1.66e+01,
350,1.66e+01,
351,1.66e+01,
352,1.66e+01,
353,1.66e+01,
354,1.64e+01,
355,1.64e+01,
356,1.64e+01,
357,1.64e+01,
358,1.66e+01,
359,1.66e+01,
360,1.66e+01,
361,1.66e+01,
362,1.66e+01,
363,1.66e+01,
364,1.66e+01,
365,1.66e+01,
366,1.66e+01,
367,1.66e+01,
368,1.66e+01,
369,1.66e+01,
370,1.66e+01,
371,1.66e+01,
372,1.68e+01,
373,1.68e+01,
374,1.66e+01,
375,1.66e+01,
376,1.66e+01,
377,1.66e+01,
378,1.68e+01,
379,1.68e+01,
380,1.68e+01,
381,1.68e+01,
382,1.66e+01,
383,1.66e+01,
384,1.66e+01,
385,1.66e+01,
386,1.66e+01,
387,1.66e+01,
388,1.66e+01,
389,1.66e+01,
390,1.66e+01,
391,1.66e+01,
392,1.66e+01,
393,1.66e+01,
394,1.66e+01,
395,1.66e+01,
396,1.66e+01,
397,1.66e+01,
398,1.66e+01,
399,1.66e+01,
400,1.66e+01,
401,1.66e+01,
402,1.66e+01,
403,1.66e+01,
404,1.66e+01,
405,1.66e+01,
406,1.66e+01,
407,1.66e+01,
408,1.66e+01,
409,1.66e+01,
410,1.68e+01,
411,1.68e+01,
412,1.66e+01,
413,1.66e+01,
414,1.66e+01,
415,1.66e+01,
416,1.66e+01,
417,1.66e+01,
418,1.68e+01,
419,1.68e+01,
420,1.68e+01,
421,1.68e+01,
422,1.68e+01,
423,1.68e+01,
424,1.66e+01,
425,1.66e+01,
426,1.66e+01,
427,1.66e+01,
428,1.66e+01,
429,1.66e+01,
430,1.66e+01,
431,1.66e+01,
432,1.66e+01,
433,1.66e+01,
434,1.68e+01,
435,1.68e+01,
436,1.66e+01,
437,1.66e+01,
438,1.66e+01,
439,1.66e+01,
440,1.68e+01,
441,1.68e+01,
442,1.66e+01,
443,1.66e+01,
444,1.66e+01,
445,1.66e+01,
446,1.66e+01,
447,1.66e+01,
448,1.66e+01,
449,1.66e+01,
450,1.68e+01,
451,1.68e+01,
452,1.68e+01,
453,1.68e+01,
454,1.66e+01,
455,1.66e+01,
456,1.66e+01,
457,1.66e+01,
458,1.66e+01,
459,1.66e+01,
460,1.66e+01,
461,1.66e+01,
462,1.66e+01,
463,1.66e+01,
464,1.66e+01,
465,1.66e+01,
466,1.66e+01,
467,1.66e+01,
468,1.66e+01,
469,1.66e+01,
470,1.66e+01,
471,1.66e+01,
472,1.66e+01,
473,1.66e+01,
474,1.66e+01,
475,1.66e+01,
476,1.66e+01,
477,1.66e+01,
478,1.66e+01,
479,1.66e+01,
480,1.68e+01,
481,1.68e+01,
482,1.66e+01,
483,1.66e+01,
484,1.66e+01,
485,1.66e+01,
486,1.66e+01,
487,1.66e+01,
488,1.66e+01,
489,1.66e+01,
490,1.66e+01,
491,1.66e+01,
492,1.66e+01,
493,1.66e+01,
494,1.66e+01,
495,1.66e+01,
496,1.66e+01,
497,1.66e+01,
498,1.66e+01,
499,1.66e+01,
500,1.68e+01,
501,1.68e+01,
502,1.64e+01,
503,1.64e+01,
504,1.64e+01,
505,1.64e+01,
506,1.66e+01,
507,1.66e+01,
508,1.66e+01,
509,1.66e+01,
510,1.66e+01,
511,1.66e+01,
512,1.66e+01,
513,1.66e+01,
514,1.66e+01,
515,1.66e+01,
516,1.66e+01,
517,1.66e+01,
518,1.66e+01,
519,1.66e+01,
520,1.68e+01,
521,1.68e+01,
522,1.68e+01,
523,1.68e+01,
524,1.66e+01,
525,1.66e+01,
526,1.66e+01,
527,1.66e+01,
528,1.68e+01,
529,1.68e+01,
530,1.66e+01,
531,1.66e+01,
532,1.66e+01,
533,1.66e+01,
534,1.66e+01,
535,1.66e+01,
536,1.68e+01,
537,1.68e+01,
538,1.68e+01,
539,1.68e+01,
540,1.66e+01,
541,1.66e+01,
542,1.66e+01,
543,1.66e+01,
544,1.66e+01,
545,1.66e+01,
546,1.66e+01,
547,1.66e+01,
548,1.66e+01,
549,1.66e+01,
550,1.66e+01,
551,1.66e+01,
552,1.68e+01,
553,1.68e+01,
554,1.68e+01,
555,1.68e+01,
556,1.68e+01,
557,1.68e+01,
558,1.68e+01,
559,1.68e+01,
560,1.68e+01,
561,1.68e+01,
562,1.66e+01,
563,1.66e+01,
564,1.66e+01,
565,1.66e+01,
566,1.64e+01,
567,1.64e+01,
568,1.64e+01,
569,1.64e+01,
570,1.66e+01,
571,1.66e+01,
572,1.66e+01,
573,1.66e+01,
574,1.66e+01,
575,1.66e+01,
576,1.66e+01,
577,1.66e+01,
578,1.66e+01,
579,1.66e+01,
580,1.66e+01,
581,1.66e+01,
582,1.68e+01,
583,1.68e+01,
584,1.68e+01,
585,1.68e+01,
586,1.66e+01,
587,1.66e+01,
588,1.66e+01,
589,1.66e+01,
590,1.68e+01,
591,1.68e+01,
592,1.66e+01,
593,1.66e+01,
594,1.66e+01,
595,1.66e+01,
596,1.66e+01,
597,1.66e+01,
598,1.66e+01,
599,1.66e+01,
600,1.68e+01,
601,1.68e+01,
602,1.66e+01,
603,1.66e+01,
604,1.66e+01,
605,1.66e+01,
606,1.66e+01,
607,1.66e+01,
608,1.66e+01,
609,1.66e+01,
610,1.66e+01,
611,1.66e+01,
612,1.66e+01,
613,1.66e+01,
614,1.66e+01,
615,1.66e+01,
616,1.66e+01,
617,1.66e+01,
618,1.66e+01,
619,1.66e+01,
620,1.68e+01,
621,1.68e+01,
622,1.66e+01,
623,1.66e+01,
624,1.66e+01,
625,1.66e+01,
626,1.68e+01,
627,1.68e+01,
628,1.66e+01,
629,1.66e+01,
630,1.66e+01,
631,1.66e+01,
632,1.66e+01,
633,1.66e+01,
634,1.66e+01,
635,1.66e+01,
636,1.66e+01,
637,1.66e+01,
638,1.66e+01,
639,1.66e+01,
640,1.66e+01,
641,1.66e+01,
642,1.66e+01,
643,1.66e+01,
644,1.66e+01,
645,1.66e+01,
646,1.66e+01,
647,1.66e+01,
648,1.66e+01,
649,1.66e+01,
650,1.68e+01,
651,1.68e+01,
652,1.66e+01,
653,1.66e+01,
654,1.66e+01,
655,1.66e+01,
656,1.66e+01,
657,1.66e+01,
658,1.66e+01,
659,1.66e+01,
660,1.66e+01,
661,1.66e+01,
662,1.68e+01,
663,1.68e+01,
664,1.68e+01,
665,1.68e+01,
666,1.68e+01,
667,1.68e+01,
668,1.66e+01,
669,1.66e+01,
670,1.66e+01,
671,1.66e+01,
672,1.66e+01,
673,1.66e+01,
674,1.66e+01,
675,1.66e+01,
676,1.66e+01,
677,1.66e+01,
678,1.68e+01,
679,1.68e+01,
680,1.66e+01,
681,1.66e+01,
682,1.66e+01,
683,1.66e+01,
684,1.66e+01,
685,1.66e+01,
686,1.66e+01,
687,1.66e+01,
688,1.66e+01,
689,1.66e+01,
690,1.66e+01,
691,1.66e+01,
692,1.66e+01,
693,1.66e+01,
694,1.66e+01,
695,1.66e+01,
696,1.66e+01,
697,1.66e+01,
698,1.66e+01,
699,1.66e+01,
700,1.68e+01,
701,1.68e+01,
702,1.68e+01,
703,1.68e+01,
704,1.66e+01,
705,1.66e+01,
706,1.66e+01,
707,1.66e+01,
708,1.66e+01,
709,1.66e+01,
710,1.66e+01,
711,1.66e+01,
712,1.66e+01,
713,1.66e+01,
714,1.66e+01,
715,1.66e+01,
716,1.66e+01,
717,1.66e+01,
718,1.68e+01,
719,1.68e+01,
720,1.68e+01,
721,1.68e+01,
722,1.68e+01,
723,1.68e+01,
724,1.66e+01,
725,1.66e+01,
726,1.66e+01,
727,1.66e+01,
728,1.66e+01,
729,1.66e+01,
730,1.68e+01,
731,1.68e+01,
732,1.68e+01,
733,1.68e+01,
734,1.66e+01,
735,1.66e+01,
736,1.66e+01,
737,1.66e+01,
738,1.66e+01,
739,1.66e+01,
740,1.68e+01,
741,1.68e+01,
742,1.66e+01,
743,1.66e+01,
744,1.66e+01,
745,1.66e+01,
746,1.68e+01,
747,1.68e+01,
748,1.68e+01,
749,1.68e+01,
750,1.68e+01,
751,1.68e+01,
752,1.66e+01,
753,1.66e+01,
754,1.66e+01,
755,1.66e+01,
756,1.66e+01,
757,1.66e+01,
758,1.66e+01,
759,1.66e+01,
760,1.66e+01,
761,1.66e+01,
762,1.66e+01,
763,1.66e+01,
764,1.66e+01,
765,1.66e+01,
766,1.66e+01,
767,1.66e+01,
768,1.66e+01,
769,1.66e+01,
770,1.66e+01,
771,1.66e+01,
772,1.66e+01,
773,1.66e+01,
774,1.66e+01,
775,1.66e+01,
776,1.68e+01,
777,1.68e+01,
778,1.66e+01,
779,1.66e+01,
780,1.66e+01,
781,1.66e+01,
782,1.68e+01,
783,1.68e+01,
784,1.68e+01,
785,1.68e+01,
786,1.68e+01,
787,1.68e+01,
788,1.68e+01,
789,1.68e+01,
790,1.66e+01,
791,1.66e+01,
792,1.66e+01,
793,1.66e+01,
794,1.66e+01,
795,1.66e+01,
796,1.66e+01,
797,1.66e+01,
798,1.64e+01,
799,1.64e+01,
800,1.64e+01,
801,1.64e+01,
802,1.66e+01,
803,1.66e+01,
804,1.66e+01,
805,1.66e+01,
806,1.68e+01,
807,1.68e+01,
808,1.68e+01,
809,1.68e+01,
810,1.66e+01,
811,1.66e+01,
812,1.66e+01,
813,1.66e+01,
814,1.66e+01,
815,1.66e+01,
816,1.66e+01,
817,1.66e+01,
818,1.66e+01,
819,1.66e+01,
820,1.66e+01,
821,1.66e+01,
822,1.66e+01,
823,1.66e+01,
824,1.68e+01,
825,1.68e+01,
826,1.64e+01,
827,1.64e+01,
828,1.64e+01,
829,1.64e+01,
830,1.66e+01,
831,1.66e+01,
832,1.66e+01,
833,1.66e+01,
834,1.68e+01,
835,1.68e+01,
836,1.68e+01,
837,1.68e+01,
838,1.68e+01,
839,1.68e+01,
840,1.68e+01,
841,1.68e+01,
842,1.66e+01,
843,1.66e+01,
844,1.66e+01,
845,1.66e+01,
846,1.68e+01,
847,1.68e+01,
848,1.66e+01,
849,1.66e+01,
850,1.66e+01,
851,1.66e+01,
852,1.66e+01,
853,1.66e+01,
854,1.66e+01,
855,1.66e+01,
856,1.66e+01,
857,1.66e+01,
858,1.66e+01,
859,1.66e+01,
860,1.66e+01,
861,1.66e+01,
862,1.66e+01,
863,1.66e+01,
864,1.66e+01,
865,1.66e+01,
866,1.66e+01,
867,1.66e+01,
868,1.66e+01,
869,1.66e+01,
870,1.66e+01,
871,1.66e+01,
872,1.66e+01,
873,1.66e+01,
874,1.66e+01,
875,1.66e+01,
876,1.66e+01,
877,1.66e+01,
878,1.66e+01,
879,1.66e+01,
880,1.66e+01,
881,1.66e+01,
882,1.66e+01,
883,1.66e+01,
884,1.66e+01,
885,1.66e+01,
886,1.66e+01,
887,1.66e+01,
888,1.66e+01,
889,1.66e+01,
890,1.66e+01,
891,1.66e+01,
892,1.66e+01,
893,1.66e+01,
894,1.66e+01,
895,1.66e+01,
896,1.68e+01,
897,1.68e+01,
898,1.64e+01,
899,1.64e+01,
900,1.64e+01,
901,1.64e+01,
902,1.66e+01,
903,1.66e+01,
904,1.66e+01,
905,1.66e+01,
906,1.66e+01,
907,1.66e+01,
908,1.68e+01,
909,1.68e+01,
910,1.66e+01,
911,1.66e+01,
912,1.66e+01,
913,1.66e+01,
914,1.66e+01,
915,1.66e+01,
916,1.68e+01,
917,1.68e+01,
918,1.68e+01,
919,1.68e+01,
920,1.68e+01,
921,1.68e+01,
922,1.68e+01,
923,1.68e+01,
924,1.68e+01,
925,1.68e+01,
926,1.68e+01,
927,1.68e+01,
928,1.66e+01,
929,1.66e+01,
930,1.66e+01,
931,1.66e+01,
932,1.68e+01,
933,1.68e+01,
934,1.66e+01,
935,1.66e+01,
936,1.66e+01,
937,1.66e+01,
938,1.66e+01,
939,1.66e+01,
940,1.66e+01,
941,1.66e+01,
942,1.66e+01,
943,1.66e+01,
944,1.66e+01,
945,1.66e+01,
946,1.64e+01,
947,1.64e+01,
948,1.64e+01,
949,1.64e+01,
950,1.66e+01,
951,1.66e+01,
952,1.66e+01,
953,1.66e+01,
954,1.66e+01,
955,1.66e+01,
956,1.66e+01,
957,1.66e+01,
958,1.64e+01,
959,1.64e+01,
960,1.64e+01,
961,1.64e+01,
962,1.66e+01,
963,1.66e+01,
964,1.68e+01,
965,1.68e+01,
966,1.68e+01,
967,1.68e+01,
968,1.66e+01,
969,1.66e+01,
970,1.66e+01,
971,1.66e+01,
972,1.66e+01,
973,1.66e+01,
974,1.66e+01,
975,1.66e+01,
976,1.66e+01,
977,1.66e+01,
978,1.66e+01,
979,1.66e+01,
980,1.68e+01,
981,1.68e+01,
982,1.68e+01,
983,1.68e+01,
984,1.68e+01,
985,1.68e+01,
986,1.66e+01,
987,1.66e+01,
988,1.66e+01,
989,1.66e+01,
990,1.66e+01,
991,1.66e+01,
992,1.66e+01,
993,1.66e+01,
994,1.66e+01,
995,1.66e+01,
996,1.66e+01,
997,1.66e+01,
998,1.66e+01,
999,1.66e+01,
1000,1.66e+01,
1001,1.66e+01,
1002,1.68e+01,
1003,1.68e+01,
1004,1.68e+01,
1005,1.68e+01,
1006,1.66e+01,
1007,1.66e+01,
1008,1.66e+01,
1009,1.66e+01,
1010,1.66e+01,
1011,1.66e+01,
1012,1.64e+01,
1013,1.64e+01,
1014,1.66e+01,
1015,1.66e+01,
1016,1.66e+01,
1017,1.66e+01,
1018,1.66e+01,
1019,1.66e+01,
1020,1.66e+01,
1021,1.66e+01,
1022,1.66e+01,
1023,1.66e+01,
1024,1.66e+01,
1025,1.66e+01,
1026,1.66e+01,
1027,1.66e+01,
1028,1.66e+01,
1029,1.66e+01,
1030,1.66e+01,
1031,1.66e+01,
1032,1.68e+01,
1033,1.68e+01,
1034,1.68e+01,
1035,1.68e+01,
1036,1.66e+01,
1037,1.66e+01,
1038,1.66e+01,
1039,1.66e+01,
1040,1.68e+01,
1041,1.68e+01,
1042,1.68e+01,
1043,1.68e+01,
1044,1.68e+01,
1045,1.68e+01,
1046,1.68e+01,
1047,1.68e+01,
1048,1.66e+01,
1049,1.66e+01,
1050,1.66e+01,
1051,1.66e+01,
1052,1.66e+01,
1053,1.66e+01,
1054,1.66e+01,
1055,1.66e+01,
1056,1.66e+01,
1057,1.66e+01,
1058,1.66e+01,
1059,1.66e+01,
1060,1.66e+01,
1061,1.66e+01,
1062,1.66e+01,
1063,1.66e+01,
1064,1.66e+01,
1065,1.66e+01,
1066,1.66e+01,
1067,1.66e+01,
1068,1.66e+01,
1069,1.66e+01,
1070,1.66e+01,
1071,1.66e+01,
1072,1.66e+01,
1073,1.66e+01,
1074,1.66e+01,
1075,1.66e+01,
1076,1.66e+01,
1077,1.66e+01,
1078,1.66e+01,
1079,1.66e+01,
1080,1.66e+01,
1081,1.66e+01,
1082,1.66e+01,
1083,1.66e+01,
1084,1.66e+01,
1085,1.66e+01,
1086,1.66e+01,
1087,1.66e+01,
1088,1.66e+01,
1089,1.66e+01,
1090,1.66e+01,
1091,1.66e+01,
1092,1.66e+01,
1093,1.66e+01,
1094,1.66e+01,
1095,1.66e+01,
1096,1.66e+01,
1097,1.66e+01,
1098,1.66e+01,
1099,1.66e+01,
1100,1.66e+01,
1101,1.66e+01,
1102,1.66e+01,
1103,1.66e+01,
1104,1.66e+01,
1105,1.66e+01,
1106,1.66e+01,
1107,1.66e+01,
1108,1.68e+01,
1109,1.68e+01,
1110,1.68e+01,
1111,1.68e+01,
1112,1.66e+01,
1113,1.66e+01,
1114,1.66e+01,
1115,1.66e+01,
1116,1.66e+01,
1117,1.66e+01,
1118,1.66e+01,
1119,1.66e+01,
1120,1.66e+01,
1121,1.66e+01,
1122,1.66e+01,
1123,1.66e+01,
1124,1.66e+01,
1125,1.66e+01,
1126,1.68e+01,
1127,1.68e+01,
1128,1.66e+01,
1129,1.66e+01,
1130,1.66e+01,
1131,1.66e+01,
1132,1.66e+01,
1133,1.66e+01,
1134,1.66e+01,
1135,1.66e+01,
1136,1.66e+01,
1137,1.66e+01,
1138,1.66e+01,
1139,1.66e+01,
1140,1.66e+01,
1141,1.66e+01,
1142,1.66e+01,
1143,1.66e+01,
1144,1.66e+01,
1145,1.66e+01,
1146,1.66e+01,
1147,1.66e+01,
1148,1.66e+01,
1149,1.66e+01,
1150,1.66e+01,
1151,1.66e+01,
1152,1.68e+01,
1153,1.68e+01,
1154,1.66e+01,
1155,1.66e+01,
1156,1.66e+01,
1157,1.66e+01,
1158,1.66e+01,
1159,1.66e+01,
1160,1.68e+01,
1161,1.68e+01,
1162,1.66e+01,
1163,1.66e+01,
1164,1.66e+01,
1165,1.66e+01,
1166,1.66e+01,
1167,1.66e+01,
1168,1.66e+01,
1169,1.66e+01,
1170,1.66e+01,
1171,1.66e+01,
1172,1.66e+01,
1173,1.66e+01,
1174,1.66e+01,
1175,1.66e+01,
1176,1.66e+01,
1177,1.66e+01,
1178,1.64e+01,
1179,1.64e+01,
1180,1.64e+01,
1181,1.64e+01,
1182,1.66e+01,
1183,1.66e+01,
1184,1.66e+01,
1185,1.66e+01,
1186,1.66e+01,
1187,1.66e+01,
1188,1.66e+01,
1189,1.66e+01,
1190,1.64e+01,
1191,1.64e+01,
1192,1.64e+01,
1193,1.64e+01,
1194,1.66e+01,
1195,1.66e+01,
1196,1.66e+01,
1197,1.66e+01,
1198,1.66e+01,
1199,1.66e+01,
